,drift_ratio_365d
01.08.053,-0.6238529251292139
01.08.055,-0.37962829615183913
01.07.051,-0.3443894064352637
01.07.049,-0.30852512019941103
01.07.050,-0.29102197916931916
01.06.040,-0.2759797056094069
01.06.041,-0.26407390120670626
01.06.036,-0.24500560023665352
01.07.046,-0.24210595990280137
01.06.038,-0.23148756918714264
01.07.044,-0.21799426006766043
01.06.042,-0.20471957589802414
01.07.048,-0.19463400498767602
01.06.043,-0.1855448151864053
01.07.047,-0.17267364108772576
01.06.039,-0.16333600107042512
01.06.037,-0.11442104793214747
01.03.018,-0.0861598519538348
01.08.059,-0.07790948895586514
01.09.060,-0.06618517774926547
01.08.054,-0.046245796647790716
01.08.052,-0.04536062719973821
01.08.056,-0.041260468014924
01.09.064,-0.04013127834884189
01.09.061,-0.03339570486928101
01.08.057,-0.02841692947790131
01.02.013,-0.02765925705773109
01.07.045,-0.02703229020007092
01.09.063,-0.02013138193152897
01.02.014,-0.01536066739764208
01.09.065,-0.010133357848820745
01.09.062,0.007022765178136714
01.02.009,0.008898534547777337
01.02.010,0.00992798272984119
01.02.008,0.01303083060318777
01.04.022,0.013668149899058957
01.01.006,0.015498699391617854
01.01.003,0.01766505658718487
01.01.001,0.019853955971131376
01.01.002,0.020432267070556676
01.02.011,0.02371598221821991
01.05.031,0.023770260628803053
01.01.007,0.025341422157982296
01.01.005,0.028038875197344604
01.03.016,0.04577936196877708
01.03.019,0.046203854876597505
01.03.021,0.04995208407614116
01.03.015,0.05081643712559747
01.04.028,0.05310450380471177
01.03.017,0.05393786521458255
01.04.025,0.05670794558014092
01.03.020,0.05987485180138641
01.05.034,0.06142255634315763
01.05.029,0.06177643327218041
01.04.024,0.06765865901391055
01.05.035,0.0693141896168381
01.05.033,0.07391506479232213
01.04.023,0.08016371570619518
01.05.032,0.08021448150130239
01.04.027,0.08493898293629432
01.04.026,0.09851419572281217
01.05.030,0.2613691224551795
01.01.004,0.573172985107376
01.08.058,0.6159475986775745
01.02.012,0.7893429170612682
