ts,inverter,code,meaning
2017-01-12 08:50:00,01.01.001,655363,Asymmetrie im Zwischenkreis low
2017-01-12 09:15:00,01.01.001,655363,Asymmetrie im Zwischenkreis low
2017-03-06 07:50:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 07:55:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 08:00:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 08:05:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 08:10:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 08:15:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 08:20:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 08:25:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 08:30:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 08:35:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 08:40:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 08:45:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 08:50:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 08:55:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 09:00:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 09:05:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 09:10:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 09:15:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 09:20:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 09:25:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 09:30:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 09:35:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 09:40:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 09:45:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 09:50:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 09:55:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 10:00:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 10:05:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 10:10:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-03-06 10:15:00,01.01.001,655616,Störmeldung vom Leistungsteil
