inverter,code,meaning,start,end,n_events,duration_h,family,power_ratio,mean_pac_kw,baseline_kw,lost_kwh,classification,code_en
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-01 07:10:00,2017-01-01 07:10:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-02 10:40:00,2017-01-02 13:45:00,9,3.167,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.009,655616,Störmeldung vom Leistungsteil,2017-01-02 13:10:00,2017-01-02 13:10:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-03 10:25:00,2017-01-03 13:35:00,5,3.25,power-stage,,,,0.0,NUISANCE,power-stage fault
01.01.003,655616,Störmeldung vom Leistungsteil,2017-01-03 11:30:00,2017-01-03 11:30:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-05 09:30:00,2017-01-05 09:45:00,3,0.333,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-05 12:00:00,2017-01-05 14:05:00,4,2.167,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-06 14:00:00,2017-01-06 14:00:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-07 08:30:00,2017-01-07 08:35:00,2,0.167,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-07 13:50:00,2017-01-07 13:50:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-08 11:50:00,2017-01-08 12:55:00,3,1.167,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-10 10:20:00,2017-01-10 12:45:00,6,2.5,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-11 09:55:00,2017-01-11 09:55:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-11 12:20:00,2017-01-11 13:05:00,5,0.833,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-12 07:35:00,2017-01-12 08:15:00,3,0.75,power-stage,,,,0.0,NUISANCE,power-stage fault
01.01.006,655363,Asymmetrie im Zwischenkreis low,2017-01-12 08:10:00,2017-01-12 09:20:00,2,1.25,dc-link,,,,0.0,NUISANCE,DC-link asymmetry low
01.02.008,655363,Asymmetrie im Zwischenkreis low,2017-01-12 08:30:00,2017-01-12 09:10:00,2,0.75,dc-link,,,,0.0,NUISANCE,DC-link asymmetry low
01.01.001,655363,Asymmetrie im Zwischenkreis low,2017-01-12 08:50:00,2017-01-12 09:15:00,2,0.5,dc-link,,,,0.0,NUISANCE,DC-link asymmetry low
01.01.002,655363,Asymmetrie im Zwischenkreis low,2017-01-12 09:00:00,2017-01-12 09:40:00,3,0.75,dc-link,,,,0.0,NUISANCE,DC-link asymmetry low
01.01.007,655363,Asymmetrie im Zwischenkreis low,2017-01-12 09:00:00,2017-01-12 09:00:00,1,0.083,dc-link,,,,0.0,NUISANCE,DC-link asymmetry low
01.01.003,655363,Asymmetrie im Zwischenkreis low,2017-01-12 10:05:00,2017-01-12 10:05:00,1,0.083,dc-link,,,,0.0,NUISANCE,DC-link asymmetry low
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-13 07:25:00,2017-01-13 07:25:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-13 15:15:00,2017-01-13 15:15:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-14 11:30:00,2017-01-14 12:05:00,4,0.667,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-15 09:15:00,2017-01-15 13:35:00,13,4.417,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.009,655616,Störmeldung vom Leistungsteil,2017-01-19 10:50:00,2017-01-19 10:50:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-21 11:35:00,2017-01-21 11:40:00,2,0.167,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-01-26 10:40:00,2017-01-26 13:20:00,4,2.75,power-stage,0.015,0.02,1.44,0.35,TRIP,power-stage fault
01.01.005,655369,Absinken der negativen Zwischenkreisspan-nung unter Grenzwert P0024.0,2017-01-27 09:40:00,2017-01-27 09:40:00,1,0.083,dc-link,,,,0.0,NUISANCE,DC-link (neg.) below nominal
01.01.004,655363,Asymmetrie im Zwischenkreis low,2017-02-03 08:35:00,2017-02-03 10:20:00,10,1.833,dc-link,0.143,0.24,1.7,2.18,TRIP,DC-link asymmetry low
01.02.008,655363,Asymmetrie im Zwischenkreis low,2017-02-03 08:40:00,2017-02-03 08:40:00,1,0.083,dc-link,0.097,0.28,2.9,0.22,TRIP,DC-link asymmetry low
01.01.007,655363,Asymmetrie im Zwischenkreis low,2017-02-03 08:40:00,2017-02-03 10:25:00,5,1.833,dc-link,0.181,0.52,2.89,3.75,TRIP,DC-link asymmetry low
01.01.003,655363,Asymmetrie im Zwischenkreis low,2017-02-03 08:50:00,2017-02-03 08:50:00,1,0.083,dc-link,,,,0.0,NUISANCE,DC-link asymmetry low
01.01.002,655363,Asymmetrie im Zwischenkreis low,2017-02-03 08:50:00,2017-02-03 08:50:00,1,0.083,dc-link,0.221,0.58,2.62,0.17,TRIP,DC-link asymmetry low
01.01.005,655363,Asymmetrie im Zwischenkreis low,2017-02-03 08:55:00,2017-02-03 08:55:00,1,0.083,dc-link,0.06,0.19,3.25,0.25,TRIP,DC-link asymmetry low
01.01.006,655363,Asymmetrie im Zwischenkreis low,2017-02-03 08:55:00,2017-02-03 08:55:00,1,0.083,dc-link,0.185,0.53,2.85,0.19,TRIP,DC-link asymmetry low
01.01.007,655363,Asymmetrie im Zwischenkreis low,2017-02-03 13:20:00,2017-02-03 13:20:00,1,0.083,dc-link,0.199,0.49,2.44,0.16,TRIP,DC-link asymmetry low
01.01.003,655363,Asymmetrie im Zwischenkreis low,2017-02-03 14:45:00,2017-02-03 14:45:00,1,0.083,dc-link,0.396,0.55,1.4,0.07,DERATE,DC-link asymmetry low
01.01.004,655363,Asymmetrie im Zwischenkreis low,2017-02-03 15:05:00,2017-02-03 15:05:00,1,0.083,dc-link,,,,0.0,NUISANCE,DC-link asymmetry low
01.02.011,655616,Störmeldung vom Leistungsteil,2017-02-03 15:35:00,2017-02-03 15:35:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-02-04 06:45:00,2017-02-04 06:45:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.01.002,655369,Absinken der negativen Zwischenkreisspan-nung unter Grenzwert P0024.0,2017-02-04 06:55:00,2017-02-04 06:55:00,1,0.083,dc-link,,,,0.0,NUISANCE,DC-link (neg.) below nominal
01.01.007,655363,Asymmetrie im Zwischenkreis low,2017-02-04 07:55:00,2017-02-04 07:55:00,1,0.083,dc-link,,,,0.0,NUISANCE,DC-link asymmetry low
01.01.007,655363,Asymmetrie im Zwischenkreis low,2017-02-04 15:20:00,2017-02-04 15:20:00,1,0.083,dc-link,,,,0.0,NUISANCE,DC-link asymmetry low
01.02.011,655616,Störmeldung vom Leistungsteil,2017-02-05 07:05:00,2017-02-05 07:05:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.008,655616,Störmeldung vom Leistungsteil,2017-02-05 15:55:00,2017-02-05 15:55:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-02-07 07:15:00,2017-02-07 07:15:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-02-10 06:35:00,2017-02-10 06:35:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-02-10 15:55:00,2017-02-10 15:55:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655379,Bei der automatischen Isolationsprüfung der Anlage wurde ein Isolation,2017-02-11 06:35:00,2017-02-11 06:35:00,1,0.083,insulation,,,,0.0,NUISANCE,insulation test failure
01.02.011,655616,Störmeldung vom Leistungsteil,2017-02-12 06:30:00,2017-02-12 06:30:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.01.006,655616,Störmeldung vom Leistungsteil,2017-02-12 06:40:00,2017-02-12 06:40:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-02-13 06:30:00,2017-02-13 06:30:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.01.007,655369,Absinken der negativen Zwischenkreisspan-nung unter Grenzwert P0024.0,2017-02-15 15:40:00,2017-02-15 15:40:00,1,0.083,dc-link,,,,0.0,NUISANCE,DC-link (neg.) below nominal
01.02.011,655616,Störmeldung vom Leistungsteil,2017-02-17 06:35:00,2017-02-17 06:35:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-02-17 16:10:00,2017-02-17 16:10:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-02-18 06:25:00,2017-02-18 06:30:00,2,0.167,power-stage,,,,0.0,NUISANCE,power-stage fault
01.02.011,655616,Störmeldung vom Leistungsteil,2017-02-26 06:15:00,2017-02-26 06:15:00,1,0.083,power-stage,,,,0.0,NUISANCE,power-stage fault
