,outage_hours_total,pct_of_sun_hours
01.08.058,2464.2,10.23
01.09.062,2055.8,8.53
01.02.012,1145.1,4.75
01.03.016,1045.3,4.34
01.01.002,974.1,4.04
01.08.057,936.0,3.88
01.08.053,852.2,3.54
01.06.037,702.8,2.92
01.06.036,629.1,2.61
01.09.060,627.9,2.61
01.05.035,614.5,2.55
01.01.004,600.8,2.49
01.01.003,576.0,2.39
01.04.022,214.5,0.89
01.02.014,208.8,0.87
01.04.026,179.4,0.74
01.05.032,178.3,0.74
01.05.033,173.3,0.72
01.05.029,138.3,0.57
01.03.017,129.9,0.54
01.01.007,109.9,0.46
01.08.055,81.4,0.34
01.07.048,72.8,0.3
01.04.023,69.6,0.29
01.09.065,48.9,0.2
01.03.018,24.0,0.1
01.01.006,21.3,0.09
01.02.011,20.2,0.08
01.04.027,18.2,0.08
01.07.046,15.7,0.07
01.08.059,14.7,0.06
01.02.010,13.2,0.05
01.04.025,12.2,0.05
01.06.039,12.0,0.05
01.02.008,11.4,0.05
01.02.013,9.3,0.04
01.05.030,9.2,0.04
01.02.009,8.9,0.04
01.07.050,8.8,0.04
01.06.043,8.3,0.03
01.06.042,5.7,0.02
01.07.047,5.2,0.02
01.03.020,4.8,0.02
01.06.041,4.4,0.02
01.01.001,3.7,0.02
01.06.038,2.9,0.01
01.07.051,2.8,0.01
01.09.063,2.3,0.01
01.03.015,2.2,0.01
01.07.049,1.2,0.01
01.09.064,1.1,0.0
01.04.024,0.9,0.0
01.07.044,0.8,0.0
01.04.028,0.8,0.0
01.05.031,0.8,0.0
01.06.040,0.6,0.0
01.09.061,0.5,0.0
01.01.005,0.3,0.0
01.08.056,0.2,0.0
01.07.045,0.2,0.0
01.05.034,0.2,0.0
01.08.052,0.1,0.0
01.03.019,0.1,0.0
