inverter,kwp,orient,days_with_data,drift_pct_per_month,n_episodes,max_episode_decline_pct,episodes
05.08.106,73.92,W,1292,-0.026,21,16.46,2018-06-15->2018-09-05 -5.71%/+7.42%; 2019-04-09->2019-04-27 -11.73%/+9.17%; 2019-06-30->2019-09-06 -7.47%/+3.66%; 2019-06-30->2019-09-22 -3.51%/+4.05%; 2020-06-06->2020-07-26 -4.17%/+3.52%; 2020-06-06->2020-08-30 -5.58%/+4.06%; 2021-04-19->2021-05-10 -4.73%/+5.06%; 2021-07-30->2021-08-19 -5.46%/+6.11%; 2022-05-26->2022-07-13 -4.07%/+3.88%; 2022-07-19->2022-08-25 -10.76%/+8.91%; 2022-09-06->2022-09-29 -4.04%/+5.71%; 2023-04-13->2023-05-16 -3.16%/+3.76%; 2023-06-02->2023-08-30 -10.57%/+7.17%; 2024-03-31->2024-05-05 -9.93%/+4.7%; 2024-03-31->2024-05-31 -5.3%/+4.77%; 2024-06-05->2024-09-02 -14.37%/+3.64%; 2024-07-24->2024-09-16 -16.46%/+2.05%; 2025-05-01->2025-05-16 -5.13%/+6.28%; 2025-07-22->2025-09-05 -14.47%/+10.39%; 2026-04-04->2026-05-08 -14.69%/+8.43%; 2026-04-04->2026-05-26 -5.38%/+4.33%
05.08.107,73.92,W,1292,-0.022,18,12.58,2018-06-15->2018-09-06 -6.44%/+5.08%; 2019-04-09->2019-04-26 -8.13%/+8.5%; 2019-06-30->2019-09-07 -7.83%/+2.67%; 2020-06-24->2020-07-26 -4.04%/+2.96%; 2020-06-24->2020-08-31 -6.48%/+4.79%; 2021-04-23->2021-05-11 -3.31%/+3.31%; 2021-06-25->2021-07-26 -3.17%/+2.29%; 2021-06-25->2021-08-17 -6.66%/+7.18%; 2022-07-19->2022-08-25 -9.46%/+6.49%; 2022-07-19->2022-10-05 -5.84%/+2.49%; 2023-06-04->2023-09-02 -9.92%/+6.65%; 2024-04-10->2024-05-05 -9.5%/+5.65%; 2024-04-10->2024-05-29 -6.19%/+6.3%; 2024-06-07->2024-09-02 -12.34%/+3.82%; 2025-04-21->2025-05-13 -5.45%/+3.99%; 2025-07-02->2025-08-13 -5.35%/+2.21%; 2025-07-02->2025-09-07 -12.58%/+7.43%; 2026-04-04->2026-05-08 -10.71%/+8.42%
02.01.029,55.44,M,1288,-0.117,8,12.19,2019-04-09->2019-05-01 -4.73%/+2.74%; 2019-07-19->2019-09-07 -12.19%/+3.82%; 2019-07-19->2019-09-21 -8.37%/+7.78%; 2021-05-29->2021-08-21 -3.77%/+3.05%; 2022-06-02->2022-08-30 -3.95%/+5.16%; 2023-08-10->2023-09-04 -3.04%/+2.32%; 2024-03-31->2024-05-31 -10.82%/+2.39%; 2026-04-04->2026-05-14 -11.78%/+3.17%
01.01.001,73.92,O,1290,-0.002,5,15.19,2019-04-09->2019-04-29 -6.97%/+2.55%; 2021-04-16->2021-05-07 -3.62%/+2.77%; 2022-08-02->2022-09-08 -3.29%/+9.29%; 2024-03-28->2024-06-13 -15.19%/+3.18%; 2025-04-24->2025-05-14 -3.71%/+2.2%
05.06.102,73.92,W,1292,0.004,5,9.71,2019-08-02->2019-08-31 -3.93%/+4.3%; 2021-04-16->2021-05-11 -4.3%/+2.99%; 2021-04-16->2021-06-05 -3.17%/+2.45%; 2022-06-02->2022-08-31 -3.61%/+5.84%; 2026-04-04->2026-05-13 -9.71%/+3.32%
05.07.104,73.92,W,1292,-0.021,4,8.84,2019-07-04->2019-07-23 -3.35%/+3.2%; 2020-04-27->2020-07-26 -3.09%/+2.82%; 2021-04-16->2021-06-06 -3.58%/+2.15%; 2024-03-28->2024-04-29 -8.84%/+6.9%
02.08.042,73.92,O,1288,-0.048,3,8.34,2024-03-31->2024-04-27 -4.69%/+5.25%; 2025-06-27->2025-09-14 -8.34%/+4.17%; 2026-04-04->2026-04-21 -5.05%/+0.0%
02.08.043,73.92,O,1287,-0.061,3,7.96,2022-07-11->2022-09-29 -7.96%/+2.52%; 2023-06-05->2023-08-11 -4.23%/+2.37%; 2024-07-03->2024-09-15 -7.79%/+2.37%
02.01.030,61.6,M,1282,0.104,2,3.61,2019-05-29->2019-08-19 -3.54%/+9.37%; 2023-05-28->2023-08-12 -3.61%/+2.14%
01.01.002,73.92,O,1292,-0.011,2,7.1,2020-06-10->2020-08-09 -3.59%/+2.05%; 2022-08-01->2022-09-11 -7.1%/+2.84%
